Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('férences', 2), ('<s>', 1), ('trightarrow', 1), ('Хронологија', 1), ('пута', 0), ('월', 0), ('Ḩ', 0), ('ímp', 0), ('sime', 0), ('瀬', 0)]","[('férences', 2), ('trightarrow', 1), ('<s>', 0), ('Ḩ', 0), ('ímp', 0), ('sime', 0), ('пута', 0), ('월', 0), ('瀬', 0), ('Хронологија', 0)]","[('<s>', 20), ('archivi', 2), ('씨', 1), ('guez', 1), ('férences', 1), ('кипеди', 0), ('пута', 0), ('溪', 0), ('textt', 0), ('Portail', 0)]","[('<s>', 7), ('férences', 3), ('пута', 1), ('archivi', 1), ('瀬', 1), ('trightarrow', 1), ('ímp', 0), ('씨', 0), ('penas', 0), ('sime', 0)]"
layer1,"[('refer', 0), ('campe', 0), ('gouvern', 0), ('anim', 0), ('éo', 0), ('ë', 0), ('gin', 0), ('succès', 0), ('gem', 0), ('ľ', 0)]","[('<s>', 38), ('ategory', 1), ('penas', 1), ('férences', 1), ('월', 0), ('arget', 0), ('ográfica', 0), ('𝓝', 0), ('Ḩ', 0), ('archivi', 0)]","[('ovis', 2), ('aris', 2), ('penas', 1), ('cas', 1), ('Dy', 0), ('anim', 0), ('доступ', 0), ('cam', 0), ('abei', 0), ('Bibliografía', 0)]","[('<s>', 22), ('penas', 6), ('ategory', 2), ('guez', 0), ('anim', 0), ('Außer', 0), ('atform', 0), ('𝓝', 0), ('férences', 0), ('ответ', 0)]"
layer2,"[('asp', 5), ('penas', 0), ('adin', 0), ('guer', 0), ('▸', 0), ('textt', 0), ('cade', 0), ('ью', 0), ('ufen', 0), ('hagen', 0)]","[('penas', 20), ('<s>', 7), ('ategory', 1), ('guez', 1), ('atform', 0), ('Außer', 0), ('estaven', 0), ('lès', 0), ('entferne', 0), ('prüfe', 0)]","[('anter', 1), ('tap', 1), ('by', 0), ('Fr', 0), ('fr', 0), ('oms', 0), ('Lind', 0), ('pin', 0), ('üng', 0), ('Av', 0)]","[('penas', 22), ('estaven', 1), ('ategory', 0), ('guez', 0), ('<s>', 0), ('atform', 0), ('ederb', 0), ('jourd', 0), ('geh', 0), ('от', 0)]"
layer3,"[('rir', 0), ('Pick', 0), ('jà', 0), ('ja', 0), ('pher', 0), ('PART', 0), ('Added', 0), ('�', 0), ('Ken', 0), ('numer', 0)]","[('penas', 10), ('estaven', 1), ('Außer', 0), ('guez', 0), ('atform', 0), ('ederb', 0), ('geh', 0), ('adém', 0), ('nou', 0), ('hover', 0)]","[('♯', 1), ('inale', 1), ('⇔', 1), ('Архівовано', 0), ('❯', 0), ('roman', 0), ('dzie', 0), ('ogne', 0), ('хів', 0), ('kin', 0)]","[('penas', 13), ('anter', 0), ('nou', 0), ('Außer', 0), ('jourd', 0), ('prüfe', 0), ('entferne', 0), ('geh', 0), ('❯', 0), ('hyp', 0)]"
layer4,"[('Regin', 0), ('Википедии', 0), ('Beau', 0), ('indent', 0), ('Atlas', 0), ('음', 0), ('рак', 0), ('Case', 0), ('rl', 0), ('TW', 0)]","[('anter', 0), ('nou', 0), ('penas', 0), ('fres', 0), ('Kin', 0), ('Beau', 0), ('mez', 0), ('thrown', 0), ('Außer', 0), ('werb', 0)]","[('abs', 0), ('ule', 0), ('inger', 0), ('ся', 0), ('Ad', 0), ('Gar', 0), ('elev', 0), ('esty', 0), ('ument', 0), ('odot', 0)]","[('LOB', 2), ('anter', 1), ('nou', 0), ('piel', 0), ('rl', 0), ('fres', 0), ('forth', 0), ('Bra', 0), ('lob', 0), ('retra', 0)]"
layer5,"[('javax', 0), ('Хронологија', 0), ('rze', 0), ('uno', 0), ('Mock', 0), ('ณ', 0), ('Ej', 0), ('tout', 0), ('sku', 0), ('GND', 0)]","[('tout', 1), ('anter', 0), ('jourd', 0), ('LOB', 0), ('nou', 0), ('forth', 0), ('rl', 0), ('Wir', 0), ('Kin', 0), ('zeich', 0)]","[('bek', 3), ('ft', 1), ('rece', 1), ('anonymous', 0), ('do', 0), ('ння', 0), ('kin', 0), ('laravel', 0), ('ident', 0), ('adm', 0)]","[('Kin', 3), ('anter', 0), ('rl', 0), ('kin', 0), ('bru', 0), ('tout', 0), ('rolled', 0), ('nim', 0), ('kin', 0), ('any', 0)]"
layer6,"[('assignment', 1), ('anges', 1), ('aman', 0), ('assign', 0), ('<s>', 0), ('isu', 0), ('remainder', 0), ('revision', 0), ('examples', 0), ('agn', 0)]","[('Kin', 3), ('bru', 0), ('anter', 0), ('ula', 0), ('trap', 0), ('nim', 0), ('kin', 0), ('rl', 0), ('kin', 0), ('Magn', 0)]","[('tri', 1), ('\u2060', 1), ('otti', 0), ('краї', 0), ('penas', 0), ('ур', 0), ('љу', 0), ('január', 0), ('pale', 0), ('нец', 0)]","[('penas', 2), ('odot', 1), ('bru', 1), ('odb', 0), ('\u2060', 0), ('anych', 0), ('Ans', 0), ('tot', 0), ('jourd', 0), ('ola', 0)]"
layer7,"[('tf', 1), ('TF', 0), ('anz', 0), ('Del', 0), ('reas', 0), ('唐', 0), ('escol', 0), ('oin', 0), ('acci', 0), ('Del', 0)]","[('penas', 1), ('ON', 1), ('jourd', 0), ('tri', 0), ('rola', 0), ('bru', 0), ('tot', 0), ('anych', 0), ('ago', 0), ('<s>', 0)]","[('uj', 4), ('forg', 2), ('ordo', 2), ('dimen', 1), ('gz', 1), ('次', 1), ('asma', 1), ('igt', 1), ('favor', 0), ('ford', 0)]","[('font', 1), ('rola', 1), ('до', 0), ('jourd', 0), ('otta', 0), ('olit', 0), ('Sv', 0), ('Bright', 0), ('Font', 0), ('tri', 0)]"
layer8,"[('}}%', 1), ('jsf', 0), ('鳥', 0), ('emo', 0), ('Creek', 0), ('emu', 0), ('Bes', 0), ('rito', 0), ('➖', 0), ('ban', 0)]","[('tri', 0), ('hover', 0), ('anych', 0), ('до', 0), ('cus', 0), ('olit', 0), ('exec', 0), ('pairs', 0), ('Sv', 0), ('otta', 0)]","[('chev', 10), ('oden', 2), ('ppa', 1), ('isc', 0), ('PI', 0), ('inden', 0), ('René', 0), ('nice', 0), ('Насе', 0), ('Bis', 0)]","[('exec', 0), ('otta', 0), ('Nue', 0), ('tri', 0), ('onces', 0), ('Brit', 0), ('cus', 0), ('hover', 0), ('hun', 0), ('pairs', 0)]"
